                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.64576,                 2.9398,                0.46491,                0.46017,                0.92279,                0.98424,                      1,                  0.995,                 0.8629,                0.98424,                      1,                  0.995,                0.71364,                0.55231,                 1.3722,                0.32676,                0.35929,                0.71262,              0.0017228,              0.0017228,              0.0017228
                     73,                0.67942,                 2.9442,                0.47088,                0.48548,                0.93506,                0.98294,                      1,                  0.995,                 0.8955,                0.98294,                      1,                  0.995,                0.76405,                0.53786,                 1.0694,                0.32085,                 0.3488,                0.70085,              0.0017188,              0.0017188,              0.0017188
                     74,                0.66875,                 2.8428,                0.49207,                0.47662,                0.91705,                0.97769,                      1,                  0.995,                0.88671,                0.97769,                      1,                  0.995,                0.76551,                0.51244,                 1.2009,                0.31305,                0.33591,                0.69715,              0.0017149,              0.0017149,              0.0017149
                     75,                0.68397,                 2.9994,                0.48401,                 0.5211,                0.93615,                0.73973,                      1,                  0.995,                 0.8531,                0.73973,                      1,                  0.995,                0.63371,                0.59943,                 1.3593,                0.30911,                0.85591,                0.73313,              0.0017109,              0.0017109,              0.0017109
                     76,                0.79431,                 2.9139,                0.47932,                0.54209,                0.94681,                0.98587,                      1,                  0.995,                0.89971,                0.98587,                      1,                  0.995,                0.66738,                0.51451,                 1.2358,                0.31187,                0.34176,                0.69205,               0.001707,               0.001707,               0.001707
                     77,                0.68413,                 2.7178,                0.50268,                0.48137,                0.92366,                0.98589,                      1,                  0.995,                0.93176,                0.98589,                      1,                  0.995,                0.71361,                0.49206,                 1.2422,                0.31046,                0.36792,                0.68854,               0.001703,               0.001703,               0.001703
                     78,                0.66718,                 2.9391,                0.47346,                0.46992,                0.94463,                0.98573,                      1,                  0.995,                0.83205,                0.98573,                      1,                  0.995,                0.59164,                0.75552,                 1.6455,                 0.3113,                0.47109,                0.73449,               0.001699,               0.001699,               0.001699
                     79,                0.69766,                 2.6143,                0.46287,                0.47724,                 0.9315,                      1,                      1,                  0.995,                0.87372,                      1,                      1,                  0.995,                0.58661,                0.62552,                 1.5125,                0.31393,                0.36274,                0.72119,              0.0016951,              0.0016951,              0.0016951
                     80,                0.72001,                 2.9397,                 0.4405,                0.50635,                0.95047,                      1,                      1,                  0.995,                0.85194,                      1,                      1,                  0.995,                0.56417,                0.66243,                 1.3794,                0.30492,                0.32009,                0.77354,              0.0016911,              0.0016911,              0.0016911
                     81,                0.70424,                 3.0158,                0.46912,                0.51374,                0.92975,                      1,                      1,                  0.995,                0.85194,                      1,                      1,                  0.995,                0.58644,                 0.6474,                 1.2361,                0.30623,                0.33847,                0.76398,              0.0016872,              0.0016872,              0.0016872
                     82,                 0.6668,                 2.6671,                 0.4735,                0.49914,                0.94087,                      1,                      1,                  0.995,                0.85194,                      1,                      1,                  0.995,                0.65305,                0.59211,                 1.1077,                0.30964,                0.27014,                0.72761,              0.0016832,              0.0016832,              0.0016832
                     83,                0.67599,                 2.4489,                0.46628,                0.48848,                0.88075,                      1,                      1,                  0.995,                0.95144,                      1,                      1,                  0.995,                  0.697,                0.55802,                0.96842,                0.31095,                0.29966,                0.70455,              0.0016792,              0.0016792,              0.0016792
                     84,                0.76171,                 3.0633,                0.48896,                0.49296,                 0.9747,                0.98614,                      1,                  0.995,                0.89614,                0.98614,                      1,                  0.995,                  0.465,                0.50646,                   1.64,                0.31408,                0.25756,                0.67322,              0.0016753,              0.0016753,              0.0016753
                     85,                 0.7632,                 3.0328,                0.49498,                0.52451,                0.96582,                0.98601,                      1,                  0.995,                0.93729,                0.98601,                      1,                  0.995,                0.67237,                0.49538,                 1.2224,                0.31347,                0.26396,                0.66343,              0.0016713,              0.0016713,              0.0016713
